indexSymbol,strategyName,signalSource,setupKey,direction,optionType,strike,entryAt,exitAt,entrySpot,exitSpot,optionEntry,optionExit,lots,lotSize,qty,pnl,exitReason,confidence,tier,regime,modeled
BANKNIFTY,,ENGINE,VWAP_RECLAIM,BEARISH,PUT,55300,2026-04-29T10:00:57.387Z,2026-04-29T10:00:59.388Z,,55329.8516,,,1,30,30,,EXPIRED_TRIGGERED,72,HIGH_CONVICTION,,false
SENSEX,,ENGINE,VWAP_RECLAIM,BEARISH,PUT,77500,2026-04-29T10:00:57.531Z,2026-04-29T10:00:57.531Z,,77472.7734,,,1,10,10,,STOPPED,72,HIGH_CONVICTION,,false
NIFTY,,ENGINE,BASELINE,BULLISH,CALL,24050,2026-04-30T09:14:34.445Z,2026-04-30T10:00:09.537Z,,24041.75,,,1,75,75,,EXPIRED_TRIGGERED,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BULLISH,CALL,77000,2026-04-30T09:29:11.246Z,2026-04-30T10:00:09.537Z,,76877.25,,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55300,2026-05-04T09:23:21.303Z,2026-05-04T10:00:32.894Z,,54879.2,961.53,,1,30,30,,EXPIRED_TRIGGERED,55,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,77600,2026-05-04T09:23:28.502Z,2026-05-04T10:00:32.894Z,,77297.56,547.83,,1,10,10,,EXPIRED_TRIGGERED,55,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,23950,2026-05-05T05:39:55.357Z,2026-05-05T07:32:20.253Z,,24016.6,236.46,193.61,1,75,75,-3213.75,STOPPED,55,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,54500,2026-05-05T05:39:55.403Z,2026-05-05T07:32:20.322Z,,54586.9,975.81,903.41,1,30,30,-2172,STOPPED,55,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,76700,2026-05-05T06:21:02.206Z,2026-05-05T07:32:20.479Z,,76949.87,602.62,462.81,1,10,10,-1398.1,STOPPED,50,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BULLISH,CALL,24000,2026-05-05T07:40:06.671Z,2026-05-05T10:00:20.575Z,,24053.1,248.2,,1,75,75,,EXPIRED_TRIGGERED,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BULLISH,CALL,77000,2026-05-05T07:42:06.465Z,2026-05-05T10:00:20.816Z,,77078.73,515.18,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,54700,2026-05-05T07:40:08.471Z,2026-05-05T10:00:20.575Z,,54576.85,1160.94,,1,30,30,,EXPIRED_TRIGGERED,50,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,24100,2026-05-06T06:46:31.399Z,2026-05-06T10:06:22.312Z,,24036.45,167.83,,1,75,75,,EXPIRED_TRIGGERED,45,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,77100,2026-05-06T06:46:31.521Z,2026-05-06T10:06:22.312Z,,77045.53,250.36,,1,10,10,,EXPIRED_TRIGGERED,45,BASELINE,,false
BANKNIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,54900,2026-05-06T06:31:55.160Z,2026-05-06T10:01:29.035Z,,54922.75,,,1,30,30,,EXPIRED_TRIGGERED,65,HIGH_CONVICTION,,false
SENSEX,,ENGINE,TREND_CONTINUATION,BEARISH,PUT,77000,2026-05-06T07:13:32.823Z,2026-05-06T10:06:22.312Z,,76925.16,,,1,10,10,,EXPIRED_TRIGGERED,75,HIGH_CONVICTION,,false
SENSEX,,ENGINE,EMA_PULLBACK,BULLISH,CALL,77900,2026-05-07T05:30:34.703Z,2026-05-07T10:00:05.864Z,,77850.27,200.68,,1,10,10,,EXPIRED_TRIGGERED,68,HIGH_CONVICTION,,false
NIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,24350,2026-05-07T05:46:52.362Z,2026-05-07T10:00:05.864Z,,24369.6,177.28,,1,75,75,,EXPIRED_TRIGGERED,68,HIGH_CONVICTION,,false
BANKNIFTY,,ENGINE,VWAP_RECLAIM,BULLISH,CALL,56000,2026-05-07T06:40:17.929Z,2026-05-07T10:00:05.864Z,,55958.15,,,1,30,30,,EXPIRED_TRIGGERED,75,HIGH_CONVICTION,,false
BANKNIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,56100,2026-05-07T08:35:37.041Z,2026-05-07T10:00:05.864Z,,56092.65,,,1,30,30,,EXPIRED_TRIGGERED,68,HIGH_CONVICTION,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55600,2026-05-08T06:02:25.255Z,2026-05-08T10:02:01.896Z,,55335.75,853.48,,1,30,30,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,55000,2026-05-11T07:41:19.361Z,2026-05-11T07:41:19.361Z,,54925.05,1005.15,918.73,1,30,30,-2592.6,STOPPED,50,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BULLISH,CALL,24000,2026-05-11T08:27:13.359Z,2026-05-11T10:00:25.453Z,,23988.45,109.37,,1,75,75,,EXPIRED_TRIGGERED,45,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,23250,2026-05-13T04:11:48.032Z,2026-05-13T05:09:22.734Z,,23462.7,257,206.13,1,75,75,-3815.25,STOPPED,55,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,53200,2026-05-13T04:11:49.630Z,2026-05-13T05:22:30.834Z,,53671.7,965.66,852.39,1,30,30,-3398.1,STOPPED,55,BASELINE,,false
