date,open,high,low,close,volume
2025-02-13 11:00:00,76582.93,76660.79,76517.22,76583.48,0
2025-02-13 11:15:00,76587.66,76640.23,76580.23,76634.4,0
2025-02-13 11:30:00,76635.92,76730.75,76631.81,76719.66,0
2025-02-13 11:45:00,76720.77,76764.53,76703.07,76730.09,0
2025-02-13 12:00:00,76730.09,76746.73,76619.8,76649.01,0
2025-02-13 12:15:00,76650.15,76680.03,76612.45,76638.1,0
2025-02-13 12:30:00,76636.94,76671.72,76592.82,76642.47,0
2025-02-13 12:45:00,76639.36,76681.37,76604.66,76625,0
2025-02-13 13:00:00,76626.69,76660.87,76516.78,76518.06,0
2025-02-13 13:15:00,76513.65,76586.74,76456.98,76504.41,0
2025-02-13 13:30:00,76504.41,76507.57,76209,76295.42,0
2025-02-13 13:45:00,76294.29,76321.35,76180.04,76286.73,0
2025-02-13 14:00:00,76285.71,76342.08,76143.21,76218.22,0
2025-02-13 14:15:00,76218.64,76263.41,76183.51,76209.44,0
2025-02-13 14:30:00,76209.85,76211.79,76044.26,76096.42,0
2025-02-13 14:45:00,76094.58,76212.12,76076.69,76200.46,0
2025-02-13 15:00:00,76202.5,76247.21,76103.62,76144.64,0
2025-02-13 15:15:00,76143.4,76179.53,76075.1,76092.39,0
2025-02-14 09:15:00,76388.99,76483.06,76156.36,76160.13,0
2025-02-14 09:30:00,76159.57,76304.52,76110.87,76229.56,0
2025-02-14 09:45:00,76220.53,76313.46,76154.03,76255.99,0
2025-02-14 10:00:00,76258.41,76392.44,76249.66,76261.93,0
2025-02-14 10:15:00,76265.1,76383.91,76234,76234,0
2025-02-14 10:30:00,76232.49,76256.15,75826.77,75848.93,0
2025-02-14 10:45:00,75842.73,75866.55,75725.13,75811.61,0
2025-02-14 11:00:00,75819.19,75847.45,75588.86,75774.4,0
2025-02-14 11:15:00,75770.8,75774.67,75659.07,75673.58,0
2025-02-14 11:30:00,75673.58,75812.45,75637.21,75811.28,0
2025-02-14 11:45:00,75812.57,75874.85,75763.13,75855.65,0
2025-02-14 12:00:00,75850.93,75871.77,75530.59,75604.75,0
2025-02-14 12:15:00,75606.39,75683.4,75532.87,75657.76,0
2025-02-14 12:30:00,75658.57,75714.64,75605.48,75625,0
2025-02-14 12:45:00,75632.28,75679.11,75536.12,75536.12,0
2025-02-14 13:00:00,75535.94,75555.1,75439.64,75546.39,0
2025-02-14 13:15:00,75545.77,75671.16,75526.06,75643,0
2025-02-14 13:30:00,75643.49,75654.5,75513.92,75554.18,0
2025-02-14 13:45:00,75555.82,75578.15,75479.44,75503.55,0
2025-02-14 14:00:00,75504.37,75567.74,75470.79,75543.99,0
2025-02-14 14:15:00,75545.17,75762.17,75545.17,75732.1,0
2025-02-14 14:30:00,75732.18,76059.85,75710.19,76037.36,0
2025-02-14 14:45:00,76036.55,76048.41,75854.44,75954.44,0
2025-02-14 15:00:00,75962.86,76032.8,75917.42,75971.37,0
2025-02-14 15:15:00,75970.38,75974.79,75804.2,75863.04,0
2025-02-17 09:15:00,75641.41,75730.01,75294.76,75637,0
2025-02-17 09:30:00,75637.63,75658.44,75392.68,75433.45,0
2025-02-17 09:45:00,75430.7,75535.98,75315.49,75409.99,0
2025-02-17 10:00:00,75419.4,75474.29,75354.9,75409.04,0
2025-02-17 10:15:00,75408.16,75601.9,75364.69,75590.84,0
2025-02-17 10:30:00,75592.13,75856.45,75567.84,75856.45,0
2025-02-17 10:45:00,75859.07,75895.26,75707.98,75724.59,0
2025-02-17 11:00:00,75725.22,75778.12,75509.75,75531.76,0
2025-02-17 11:15:00,75530.42,75659,75518.23,75638.69,0
2025-02-17 11:30:00,75642.19,75683.27,75583.81,75680.15,0
2025-02-17 11:45:00,75682.91,75739.38,75662.24,75719.77,0
2025-02-17 12:00:00,75720.46,75795.12,75592.72,75592.72,0
2025-02-17 12:15:00,75595.44,75605.45,75512.58,75573.19,0
2025-02-17 12:30:00,75573.19,75674.74,75551.37,75662.9,0
2025-02-17 12:45:00,75665.08,75760.42,75662.27,75756.95,0
2025-02-17 13:00:00,75756.95,75819.44,75640,75650.61,0
2025-02-17 13:15:00,75650.61,75733.3,75621.44,75718.27,0
2025-02-17 13:30:00,75718.27,76023.73,75702.54,75970.45,0
2025-02-17 13:45:00,75969.67,75975.08,75794.51,75831.79,0
2025-02-17 14:00:00,75832.33,75920.8,75763.06,75773.78,0
2025-02-17 14:15:00,75775.2,75894.41,75775.2,75872.5,0
2025-02-17 14:30:00,75869.04,75877.59,75764.85,75838.56,0
2025-02-17 14:45:00,75837.51,75958.03,75797.44,75934.14,0
2025-02-17 15:00:00,75934.46,76019.49,75925.87,76014.87,0
2025-02-17 15:15:00,76013.58,76041.96,75979.45,76007.68,0
2025-02-18 09:15:00,76028.84,76043.17,75795.42,75879.85,0
2025-02-18 09:30:00,75871.23,75973.53,75778.95,75942.05,0
2025-02-18 09:45:00,75941.97,76091.69,75896.76,75916.53,0
2025-02-18 10:00:00,75916.8,76021.03,75840.37,75846.42,0
2025-02-18 10:15:00,75844.86,75880.06,75590.67,75603.37,0
2025-02-18 10:30:00,75602.44,75662.98,75576.51,75657.54,0
2025-02-18 10:45:00,75656.07,75759.52,75615.08,75735.17,0
2025-02-18 11:00:00,75732.56,75740.55,75531.01,75564.5,0
2025-02-18 11:15:00,75564.57,75647.22,75544.81,75646.51,0
2025-02-18 11:30:00,75646.05,75748.17,75626.34,75746.2,0
2025-02-18 11:45:00,75746.85,75836.27,75666.31,75667.92,0
2025-02-18 12:00:00,75667.31,75748.29,75639.23,75732.54,0
2025-02-18 12:15:00,75732.19,75791.49,75714.6,75791.49,0
2025-02-18 12:30:00,75792.62,75894.91,75786.21,75806.37,0
2025-02-18 12:45:00,75801.7,75830.72,75685.71,75745.94,0
2025-02-18 13:00:00,75739.68,75816.95,75717.9,75788.09,0
2025-02-18 13:15:00,75788.66,75890.67,75788.46,75890.67,0
2025-02-18 13:30:00,75891.59,75981.67,75846.85,75970.7,0
2025-02-18 13:45:00,75970.41,75971.34,75896.06,75924.23,0
2025-02-18 14:00:00,75923.05,75971.39,75848.11,75921.68,0
2025-02-18 14:15:00,75925,76004.64,75900.12,76000.44,0
2025-02-18 14:30:00,76000.2,76030.66,75936.15,75992.91,0
2025-02-18 14:45:00,75994.12,76052.02,75926.29,75987.4,0
2025-02-18 15:00:00,75987.04,76076.11,75984.23,76007.93,0
2025-02-18 15:15:00,76010.86,76013.12,75882.82,75901.34,0
